# TibetanMachine legacy font mapping
# Source: https://github.com/buda-base/py-tiblegenc/blob/0c6372e44be7238b611261d981355d80f68f85b8/pytiblegenc/font-tables/utfc.csv
# Apache-2.0; the bundled license is LICENSE.py-tiblegenc-APACHE-2.0.txt.
source_codepoint,target
33,ཀ
34,ཁ
35,ག
36,ང
37,ཅ
38,ཆ
39,ཇ
40,ཉ
41,ཏ
42,ཐ
43,ད
44,ན
45,
46,ཕ
47,བ
48,མ
49,ཙ
50,ཚ
51,ཛ
52,ཝ
53,ཞ
54,ཟ
55,འ
56,ཡ
57,ར
58,ལ
59,ཤ
60,ས
61,ཧ
62,ཨ
63,རྐ
64,རྒ
65,རྔ
66,རྗ
67,རྙ
68,རྟ
69,རྡ
70,རྣ
71,རྦ
72,རྨ
73,རྩ
74,རྫ
75,ལྐ
76,ལྒ
77,ལྔ
78,ལྕ
79,ལྗ
80,ལྟ
81,ལྡ
82,ལྤ
83,ལྦ
84,ལྷ
85,སྐ
86,སྒ
87,སྔ
88,སྙ
89,སྟ
90,སྡ
91,སྣ
92,སྤ
93,སྦ
94,སྨ
95,སྩ
96,ཀྱ
97,ཁྱ
98,གྱ
99,པྱ
100,ཕྱ
101,བྱ
102,མྱ
103,ཀྲ
104,ཁྲ
105,གྲ
106,ཏྲ
107,ཐྲ
108,དྲ
109,པྲ
110,ཕྲ
111,བྲ
112,མྲ
113,ཤྲ
114,སྲ
115,ཧྲ
116,ཀླ
117,གླ
118,བླ
119,ཟླ
120,རླ
121,སླ
122,རྐྱ
123,རྒྱ
124,རྨྱ
125,རྒྭ
126,རྩྭ
127,
8364,སྒྱ
8218,སྦྱ
402,སྨྱ
8222,སྐྲ
8230,སྒྲ
8224,སྣྲ
8225,སྤྲ
710,སྦྲ
8240,སྨྲ
352,ཀྭ
8249,ཁྭ
338,གྭ
381,
8216,ཙྭ
8217,ཚྭ
8220,ཞྭ
8221,ཟྭ
8226,རྭ
8211,ཤྭ
8212,སྭ
732,ཧྭ
8482,གྲྭ
353,དྲྭ
8250,པྱྭ
339,ཧ
382,
376,ྭ
160,
161,ཱ
162,ཱ
163,ཱ
164,ཱ
165,ུ
166,
167,ུ
168,ུ
169,ུ
170,ཊ
171,ཋ
172,ཌ
173,ཎ
174,ཥ
175,ཀྵ
176,
177,
178,
179,
180,ཀ
181,ག
182,ཉ
183,ཏ
184,ད
185,ན
186,ཞ
187,ཤ
188,ཧ
189,རྟ
190,༠
191,༡
192,༢
193,༣
194,༤
195,༥
196,༦
197,༧
198,༨
199,༩
200,༅
201,༆༅
202,།
203,༑
204,༈
205,་
206,༔
207,༴
208,༼
209,༽
210,༄
211,ཱ
212,ཱ
213,ཱུ
214,ཱུ
215,ཱུ
216,ཱུ
217,ཱུ
218,ཱུ
219,ཱུ
220,ི
221,ི
222,ྀ
223,ུ
224,ུ
225,ུ
226,ུ
227,ུ
228,ུ
229,ུ
230,ུ
231,ུ
232,ེ
233,ེ
234,ཻ
235,ོ
236,ོ
237,ཽ
238,ཾ
239,ཿ
240,
241,ྃ
242,ྂ
243,ིཾ
244,ིཾ
245,ྀཾ
246,ེཾ
247,ེཾ
248,ཻཾ
249,ོཾ
250,ོཾ
251,ཽཾ
252,
253,པ
254,སྐྱ
